Item Name,Item Level,Role,Tier,Slot / Type,Health Regen,Stam Regen,Healing,Haste,Hit,Penetration,Positional,1H Dmg,2H Dmg,Rng Dmg,Damage %,DiceMod,PDR,MDR,CDR,EDR,PDBR,MDBR,CDBR,EDBR,Combat Mov.,MoveD Resist,Avoid,Resilience,Stun Resist,Daze Resist,Conf Resist,Threat,Block,Block Value,Parry,Riposte,Duration (min),Other Stats,Source (Mob/Quest/Crafted),Set,Notes,Craft Skill,Signature,Recipe Name,Bad Combo,Comp 1,Comp 1 Level,Comp 2,Comp 2 Level,Flux Quality,Flux Level
Northern Copper Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,4,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:01/Copper@40:05,Imb. Malachite Earring,,01/Malachite,40,01/Copper,40,Rad,05
Northern Copper Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,8,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:01/Copper@40:15,Imb. Malachite Earring,,01/Malachite,40,01/Copper,40,Rad,15
Northern Copper Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,8,8,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:01/Copper@40:35,Imb. Malachite Earring,,01/Malachite,40,01/Copper,40,Rad,35
Northern Copper Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,8,8,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:01/Copper@40:45,Imb. Malachite Earring,,01/Malachite,40,01/Copper,40,Rad,45
Northern Copper Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,8,8,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:01/Copper@40:50,Imb. Malachite Earring,,01/Malachite,40,01/Copper,40,Rad,50
Northern Tin Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@30:05,Imb. Malachite Earring,,01/Malachite,40,10/Tin,30,Rad,05
Northern Tin Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@30:15,Imb. Malachite Earring,,01/Malachite,40,10/Tin,30,Rad,15
Outlands Tin Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@30:35,Imb. Malachite Earring,,01/Malachite,40,10/Tin,30,Rad,35
Outlands Tin Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,8,,,,,,,8,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@30:45,Imb. Malachite Earring,,01/Malachite,40,10/Tin,30,Rad,45
Apex Tin Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,12,,,,,,,12,4,16,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@50:45,Imb. Malachite Earring,,01/Malachite,40,10/Tin,50,Rad,45
Apex Tin Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,8,,,,,,,12,4,16,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:10/Tin@50:50,Imb. Malachite Earring,,01/Malachite,40,10/Tin,50,Rad,50
Northern Zink Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,4,,,,,,,4,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:20/Zink@40:05,Imb. Malachite Earring,,01/Malachite,40,20/Zink,40,Rad,05
Northern Zink Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,4,,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:20/Zink@40:15,Imb. Malachite Earring,,01/Malachite,40,20/Zink,40,Rad,15
Northern Zink Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,16,4,,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:20/Zink@40:35,Imb. Malachite Earring,,01/Malachite,40,20/Zink,40,Rad,35
Northern Zink Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,20,4,,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:20/Zink@40:45,Imb. Malachite Earring,,01/Malachite,40,20/Zink,40,Rad,45
Northern Zink Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,20,4,,,,,,,4,4,8,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:20/Zink@40:50,Imb. Malachite Earring,,01/Malachite,40,20/Zink,40,Rad,50
Highlands Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@25:35,Imb. Malachite Earring,,01/Malachite,40,25/Silver,25,Rad,35
Highlands Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@25:45,Imb. Malachite Earring,,01/Malachite,40,25/Silver,25,Rad,45
Northern Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,4,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@45:05,Imb. Malachite Earring,,01/Malachite,40,25/Silver,45,Rad,05
Northern Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,8,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@45:15,Imb. Malachite Earring,,01/Malachite,40,25/Silver,45,Rad,15
Northern Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,12,,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@45:35,Imb. Malachite Earring,,01/Malachite,40,25/Silver,45,Rad,35
Northern Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,16,,,,,,4,16,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@45:45,Imb. Malachite Earring,,01/Malachite,40,25/Silver,45,Rad,45
Northern Silver Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,,16,,,,,4,16,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:25/Silver@45:50,Imb. Malachite Earring,,01/Malachite,40,25/Silver,45,Rad,50
Northern Gold Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,8,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@30:05,Imb. Malachite Earring,,01/Malachite,40,30/Gold,30,Rad,05
Northern Gold Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,12,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@30:15,Imb. Malachite Earring,,01/Malachite,40,30/Gold,30,Rad,15
Northern Gold Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,16,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@30:25,Imb. Malachite Earring,,01/Malachite,40,30/Gold,30,Rad,25
Outlands Gold Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,16,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@30:35,Imb. Malachite Earring,,01/Malachite,40,30/Gold,30,Rad,35
Outlands Gold Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,16,8,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@30:45,Imb. Malachite Earring,,01/Malachite,40,30/Gold,30,Rad,45
Apex Gold Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,20,12,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@50:45,Imb. Malachite Earring,,01/Malachite,40,30/Gold,50,Rad,45
Apex Gold Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,24,12,,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:30/Gold@50:50,Imb. Malachite Earring,,01/Malachite,40,30/Gold,50,Rad,50
Outlands Iron Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,4,,,,,,4,8,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@35:05,Imb. Malachite Earring,,01/Malachite,40,35/Iron,35,Rad,05
Outlands Iron Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,4,,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@35:15,Imb. Malachite Earring,,01/Malachite,40,35/Iron,35,Rad,15
Outlands Iron Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,8,,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@35:25,Imb. Malachite Earring,,01/Malachite,40,35/Iron,35,Rad,25
Outlands Iron Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,8,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@35:35,Imb. Malachite Earring,,01/Malachite,40,35/Iron,35,Rad,35
Outlands Iron Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,4,4,,8,,,,,4,12,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@35:45,Imb. Malachite Earring,,01/Malachite,40,35/Iron,35,Rad,45
Apex Iron Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,,12,,,,,4,16,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@50:45,Imb. Malachite Earring,,01/Malachite,40,35/Iron,50,Rad,45
Apex Iron Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,,12,,,,,4,16,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:35/Iron@50:50,Imb. Malachite Earring,,01/Malachite,40,35/Iron,50,Rad,50
Northern Cobalt Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,4,,,,,,,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:40/Cobalt@40:05,Imb. Malachite Earring,,01/Malachite,40,40/Cobalt,40,Rad,05
Northern Cobalt Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,12,4,8,,,,,,,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:40/Cobalt@40:15,Imb. Malachite Earring,,01/Malachite,40,40/Cobalt,40,Rad,15
Northern Cobalt Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,16,4,12,,,,,,,4,4,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:40/Cobalt@40:35,Imb. Malachite Earring,,01/Malachite,40,40/Cobalt,40,Rad,35
Northern Cobalt Dazzling Malachite Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,20,4,12,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:40/Cobalt@40:45,Imb. Malachite Earring,,01/Malachite,40,40/Cobalt,40,Rad,45
Northern Cobalt Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,20,4,12,,,,,,4,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:40/Cobalt@40:50,Imb. Malachite Earring,,01/Malachite,40,40/Cobalt,40,Rad,50
Apex Dezokhite Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,16,,,,,,16,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:50/Dezokhite@50:45,Imb. Malachite Earring,,01/Malachite,40,50/Dezokhite,50,Rad,45
Apex Dezokhite Dazzling Malachite Earring,50,Any,5 Mythic,Earring,,,,,,,,,,,,,,,,,8,4,16,,,,,,16,4,,,,,,,,,Crafted,,,Tinkerer,01/Malachite@40:50/Dezokhite@50:50,Imb. Malachite Earring,,01/Malachite,40,50/Dezokhite,50,Rad,50
Newhaven Copper Shiny Turquoise Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:01/Copper@1:05,Imb. Turquoise Earring,,10/Turquoise,10,01/Copper,01,Rad,05
Newhaven Copper Shiny Turquoise Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,4,,,,,,,,,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:01/Copper@1:15,Imb. Turquoise Earring,,10/Turquoise,10,01/Copper,01,Rad,15
Highlands Copper Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:01/Copper@20:05,Imb. Turquoise Earring,,10/Turquoise,10,01/Copper,20,Rad,05
Highlands Copper Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,4,4,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:01/Copper@20:15,Imb. Turquoise Earring,,10/Turquoise,10,01/Copper,20,Rad,15
Highlands Copper Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,4,4,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:01/Copper@20:25,Imb. Turquoise Earring,,10/Turquoise,10,01/Copper,20,Rad,25
Flatlands Tin Shiny Turquoise Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:10/Tin@10:05,Imb. Turquoise Earring,,10/Turquoise,10,10/Tin,10,Rad,05
Flatlands Tin Shiny Turquoise Earring,10,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:10/Tin@10:15,Imb. Turquoise Earring,,10/Turquoise,10,10/Tin,10,Rad,15
Highlands Zink Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,8,4,,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:20/Zink@20:05,Imb. Turquoise Earring,,10/Turquoise,10,20/Zink,20,Rad,05
Highlands Zink Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,8,4,,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:20/Zink@20:15,Imb. Turquoise Earring,,10/Turquoise,10,20/Zink,20,Rad,15
Highlands Zink Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,12,4,,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:20/Zink@20:25,Imb. Turquoise Earring,,10/Turquoise,10,20/Zink,20,Rad,25
Highlands Silver Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,4,,,,,,,4,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:25/Silver@25:05,Imb. Turquoise Earring,,10/Turquoise,10,25/Silver,25,Rad,05
Highlands Silver Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,8,,,,,,,4,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:25/Silver@25:15,Imb. Turquoise Earring,,10/Turquoise,10,25/Silver,25,Rad,15
Highlands Silver Shiny Turquoise Earring,20,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,4,8,,,,,,,8,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@10:25/Silver@25:25,Imb. Turquoise Earring,,10/Turquoise,10,25/Silver,25,Rad,25
Highlands Copper Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,8,4,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@20:05,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,20,Rad,05
Highlands Copper Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,8,4,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@20:25,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,20,Rad,25
Highlands Copper Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,12,,,4,8,4,,,,,,,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@20:35,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,20,Rad,35
Northern Copper Brilliant Turquoise Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,8,,4,,,,,,4,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@40:05,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,40,Rad,05
Northern Copper Brilliant Turquoise Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,12,,,4,8,,8,,,,,,8,,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@40:15,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,40,Rad,15
Northern Copper Brilliant Turquoise Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,12,,,4,8,8,,,,,,,,8,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@40:35,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,40,Rad,35
Northern Copper Brilliant Turquoise Earring,40,Any,5 Mythic,Earring,,,,,,,,,,,,,,12,,,4,8,8,,,,,,,,8,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:01/Copper@40:45,Imb. Turquoise Earring,,10/Turquoise,30,01/Copper,40,Rad,45
Outlands Tin Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,,,,,,,4,,4,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:10/Tin@30:05,Imb. Turquoise Earring,,10/Turquoise,30,10/Tin,30,Rad,05
Outlands Tin Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,4,,,4,8,,,,,,,4,,8,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:10/Tin@30:15,Imb. Turquoise Earring,,10/Turquoise,30,10/Tin,30,Rad,15
Outlands Tin Brilliant Turquoise Earring,30,Any,5 Mythic,Earring,,,,,,,,,,,,,,8,,,4,8,,,,,,,4,,8,,,,,,,,Crafted,,,Tinkerer,10/Turquoise@30:10/Tin@30:25,Imb. Turquoise Earring,,10/Turquoise,30,10/Tin,30,Rad,25
