Skill,Recipe Name,Flux Quality,Flux Level,Waste of Flux,Trap Combo,Component 1,Component 1 Level,Component 2,Comp 2 Level,Component 3,Comp 3 Level,Product Name,Tier,Role,Item Level,Category,Slot / Type,Weight,AC,AC:Weight,Durability,Health Regen,Stam Regen,Healing,Haste,Hit,Penetration,Combat Mov.,Resilience,Positional,1H Dmg,2H Dmg,Rng Dmg,Damage %,DiceMod,Avoid,PDR,MDR,CDR,EDR,PDBR,MDBR,CDBR,EDBR,MoveD Resist,Stun Resist,Daze Resist,Conf Resist,Threat,Block,Block Value,Parry,Riposte,Other Stats,Done?,Source,Set,Notes
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,20/Ramie,40,"(Boreal Linen, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5806,36,6,3,,,,9,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,01/Linen,40,20/Ramie,40,"(Boreal Linen, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,6012,36,6,3,,,,9,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,01/Linen,40,20/Ramie,40,"(Boreal Linen, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,6087,36,6,3,,,,9,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,01/Linen,40,20/Ramie,40,"(Boreal Linen, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7837,36,6,3,,,,9,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,30/Jute,50,"(Boreal Linen, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6918,36,12,3,,,,9,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,40/Hemp,40,"(Boreal Linen, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5168,36,12,,,,,9,,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,01/Linen,40,40/Hemp,40,"(Boreal Linen, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5168,36,15,,,,,9,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,01/Linen,40,40/Hemp,40,"(Boreal Linen, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6918,36,15,,,,,9,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,01/Linen,40,50/Abaca,50,"(Boreal Linen, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6918,60,6,,,,,15,3,,,,,,,,,3,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Mandrake,50,"(Lively Mandrake, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,18,,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Mandrake,50,"(Lively Mandrake, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,21,,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Mandrake,50,"(Lively Mandrake, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,46,n/a,6457,18,27,,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Mandrake,50,"(Lively Mandrake, Lively Mandrake) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,46,n/a,6457,18,30,,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Silk,45,"(Lively Mandrake, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,18,3,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Silk,45,"(Lively Mandrake, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,21,6,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Silk,45,"(Lively Mandrake, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,27,6,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,05/Silk,45,"(Lively Mandrake, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,27,6,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,10/Cotton,50,"(Lively Mandrake, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,12,,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,10/Cotton,50,"(Lively Mandrake, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,15,,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,10/Cotton,50,"(Lively Mandrake, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,44,n/a,6457,18,18,,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,20/Ramie,40,"(Lively Mandrake, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7095,18,12,3,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Mandrake,50,20/Ramie,40,"(Lively Mandrake, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7301,18,12,3,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,20/Ramie,40,"(Lively Mandrake, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,7376,18,15,3,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,20/Ramie,40,"(Lively Mandrake, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,7376,18,18,3,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,30/Jute,50,"(Lively Mandrake, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,18,3,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,30/Jute,50,"(Lively Mandrake, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,46,n/a,6457,18,21,3,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,30/Jute,50,"(Lively Mandrake, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,46,n/a,6457,18,24,3,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,40/Hemp,40,"(Lively Mandrake, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,18,,,,,6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Mandrake,50,40/Hemp,40,"(Lively Mandrake, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,21,,,,,6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,40/Hemp,40,"(Lively Mandrake, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,24,,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,40/Hemp,40,"(Lively Mandrake, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,27,,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Mandrake,50,50/Abaca,50,"(Lively Mandrake, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,45,12,,,,,12,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Mandrake,50,50/Abaca,50,"(Lively Mandrake, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,51,12,,,,,12,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Mandrake,50,50/Abaca,50,"(Lively Mandrake, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,60,15,,,,,15,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Mandrake,50,50/Abaca,50,"(Lively Mandrake, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,60,18,,,,,15,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,05/Silk,45,"(Ductile Silk, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,18,6,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,05/Silk,45,"(Ductile Silk, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,21,9,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,05/Silk,45,"(Ductile Silk, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,27,12,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Silk,45,05/Silk,45,"(Ductile Silk, Ductile Silk) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,34,n/a,4707,18,27,12,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,10/Cotton,50,"(Ductile Silk, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,12,3,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,10/Cotton,50,"(Ductile Silk, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,12,6,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,10/Cotton,50,"(Ductile Silk, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,15,6,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,20/Ramie,40,"(Ductile Silk, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5345,18,12,6,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,20/Ramie,40,"(Ductile Silk, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5551,18,12,6,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,20/Ramie,40,"(Ductile Silk, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,5626,18,15,9,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Silk,45,20/Ramie,40,"(Ductile Silk, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7376,18,15,9,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,30/Jute,50,"(Ductile Silk, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,18,6,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,30/Jute,50,"(Ductile Silk, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,18,9,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,30/Jute,50,"(Ductile Silk, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,21,9,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Silk,45,30/Jute,50,"(Ductile Silk, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,21,9,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,40/Hemp,40,"(Ductile Silk, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,18,3,,,,6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,40/Hemp,40,"(Ductile Silk, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,21,6,,,,6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,40/Hemp,40,"(Ductile Silk, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,40,Armor,Chest,0,34,n/a,4707,18,24,6,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,05/Silk,45,40/Hemp,40,"(Ductile Silk, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,34,n/a,6457,18,24,6,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,05/Silk,45,50/Abaca,50,"(Ductile Silk, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,45,12,3,,,,12,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,05/Silk,45,50/Abaca,50,"(Ductile Silk, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,51,12,6,,,,12,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,05/Silk,45,50/Abaca,50,"(Ductile Silk, Summit Abaca) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,60,15,6,,,,15,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,10/Cotton,50,10/Cotton,50,"(Summit Cotton, Summit Cotton) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,6,,,,,6,3,,,,,,,,,12,,6,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,10/Cotton,50,20/Ramie,40,"(Summit Cotton, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7095,18,6,3,,,,6,3,,,,,,,,,12,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,35,FALSE,FALSE,01/Copper,40,10/Cotton,50,20/Ramie,40,"(Summit Cotton, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7301,18,6,3,,,,6,3,,,,,,,,,12,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,10/Cotton,50,20/Ramie,40,"(Summit Cotton, Boreal Ramie) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,7376,18,6,3,,,,6,3,,,,,,,,,12,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,10/Cotton,50,30/Jute,50,"(Summit Cotton, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,43,n/a,6457,18,12,3,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,50,FALSE,FALSE,01/Copper,40,10/Cotton,50,30/Jute,50,"(Summit Cotton, Summit Jute) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,44,n/a,6457,18,12,3,,,,6,3,,,,,,,,,9,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,25,FALSE,FALSE,01/Copper,40,10/Cotton,50,40/Hemp,40,"(Summit Cotton, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,12,,,,,6,3,,,,,,,,,15,,3,,,,,,,,,,,,,,,,Crafted,,
Armorsmith,Imb. Copper Chain Hauberk,Rad,45,FALSE,FALSE,01/Copper,40,10/Cotton,50,40/Hemp,40,"(Summit Cotton, Boreal Hemp) Lined Northern Copper Hauberk",5 Mythic,Any,50,Armor,Chest,0,40,n/a,6457,18,15,,,,,6,3,,,,,,,,,15,,3,,,,,,,,,,,,,,,,Crafted,,
